HeartRate,Temperature,SystolicBloodPressure,DiastolicBloodPressure
98,37.007,91,70
96,36.776,112,71
85,36.811,97,66
99,37.281,97,66
68,37.304,118,78
60,37.314,117,64
71,36.794,102,75
68,37.328,101,73
66,37.313,103,60
76,37.181,110,77
92,37.438,98,63
90,37.33,105,78
61,36.712,116,77
63,37.384,91,67
96,36.925,119,78
81,37.315,104,66
82,37.496,104,65
78,36.669,95,65
62,37.358,113,79
80,37.098,109,70
68,36.991,98,64
70,36.741,110,60
64,36.727,117,67
77,37.002,119,64
73,37.153,96,60
73,37.146,105,72
89,36.6,110,76
99,36.995,109,74
63,37.479,117,68
90,36.534,113,68
95,37.396,119,70
96,37.242,105,78
98,37.028,93,67
64,36.632,96,78
74,36.764,114,77
98,37.102,118,63
93,36.52,97,79
83,37.105,93,72
75,37.044,107,63
96,37.291,111,74
66,36.587,101,65
98,37.437,116,71
91,36.656,91,60
61,37.287,119,79
96,36.54,94,62
70,36.544,107,62
66,37.317,119,66
96,36.934,93,78
80,37.035,99,64
80,37.453,102,76
80,37.346,98,71
63,37.313,105,60
75,36.919,107,67
85,36.578,118,67
75,36.529,94,67
83,36.552,97,79
67,37.044,105,79
83,36.869,98,61
69,36.731,90,67
70,36.788,93,70
61,36.771,92,68
84,36.954,98,61
64,37.042,100,62
87,37.478,118,76
63,37.108,92,73
72,36.855,109,70
81,36.776,91,63
95,36.931,96,72
60,37.422,94,69
80,37.457,111,72
94,37.455,112,71
68,37.108,101,77
73,37.44,102,79
69,36.806,97,79
77,37.419,110,78
60,37.459,101,75
90,36.993,95,70
96,36.995,101,77
98,37.132,101,74
93,36.819,91,65
94,36.752,114,78
67,37.466,90,70
69,36.511,93,65
71,37.097,113,64
67,36.959,103,74
86,36.747,109,76
86,36.731,97,72
83,36.968,106,78
79,37.086,106,74
68,36.91,108,74
85,37.291,101,60
94,36.55,98,76
84,37.012,93,76
92,37.172,94,64
65,36.711,92,72
79,36.875,101,77
63,37.119,114,75
60,36.631,95,67
92,36.602,115,69
71,37.116,111,75
77,36.812,111,60
72,36.864,92,66
90,37.193,101,63
86,36.965,110,61
66,36.959,104,75
74,37.201,94,61
85,37.488,104,77
66,37.452,112,75
71,37.49,101,75
98,36.581,100,77
62,37.215,100,72
84,36.973,106,67
96,36.563,116,73
85,36.82,109,71
88,36.843,97,68
60,37.426,101,68
79,36.832,95,67
91,37.492,117,62
92,37.11,99,60
83,37.41,90,60
95,37.298,107,68
97,36.818,101,62
93,36.502,98,76
88,37.417,113,72
72,37.166,104,71
93,36.647,101,73
63,36.722,95,62
66,37.307,97,68
84,37.077,96,70
65,36.639,94,64
73,36.534,102,70
93,36.849,105,78
84,36.858,107,65
79,36.924,103,64
92,37.189,94,75
89,36.6,91,74
67,36.731,105,64
76,37.089,115,69
78,36.524,92,76
76,37.29,112,72
92,37.203,115,66
72,37.216,91,69
63,37.277,92,71
81,37.399,116,63
65,36.972,107,64
98,36.691,116,66
95,37.308,90,61
